iter	Logloss
0	0.4069814833
1	0.2772876286
2	0.218927405
3	0.1845121897
4	0.1676555825
5	0.1538273101
6	0.1460353208
7	0.1396632063
8	0.1337824372
9	0.1267972107
10	0.121814274
11	0.1168849605
12	0.1137075437
13	0.1100202653
14	0.106551289
15	0.1023425823
16	0.1005933909
17	0.09810962444
18	0.09510879137
19	0.09297073206
20	0.09064049205
21	0.0870149182
22	0.08521224858
23	0.08413213198
24	0.08208611539
25	0.07997053363
26	0.0772551179
27	0.07511656859
28	0.07333057253
29	0.0716561154
30	0.06935426737
31	0.06788600057
32	0.06671330294
33	0.0651011577
34	0.06389594801
35	0.0624080815
36	0.06153275426
37	0.06017693736
38	0.05907778005
39	0.05807344669
40	0.05707647702
41	0.05573729227
42	0.05477956343
43	0.05386210027
44	0.05290819131
45	0.0518784853
46	0.05083096011
47	0.04980296907
48	0.04893044722
49	0.04827718334
50	0.04751401959
51	0.04651164965
52	0.04568782342
53	0.04497125385
54	0.04394473969
55	0.04325643787
56	0.04241157301
57	0.0418294892
58	0.04113768151
59	0.0403327338
60	0.03971024284
61	0.03935491527
62	0.03856651344
63	0.03786116884
64	0.03726091044
65	0.03660069349
66	0.03596974152
67	0.0351868987
68	0.03486592238
69	0.03439824498
70	0.03389970839
71	0.03318191038
72	0.03282334609
73	0.03237538918
74	0.03182855379
75	0.03136636983
76	0.03084270213
77	0.0303880682
78	0.02973335159
79	0.02894267924
80	0.02853481546
81	0.02807003489
82	0.02769835466
83	0.02735857056
84	0.02691402289
85	0.02636156466
86	0.02590662535
87	0.02569721037
88	0.02528589595
89	0.02495085649
90	0.02466600505
91	0.0243287796
92	0.0241223805
93	0.02378415609
94	0.0234882246
95	0.02323241214
96	0.02294725878
97	0.02258748676
98	0.02228388448
99	0.02198843609
